#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu245	16	10	6	13	17	29	16	31	46	22	18
Otu175	21	13	8	37	55	56	18	20	69	30	18
Otu420	1	1	0	3	4	2	0	4	3	4	3
Otu668	3	0	0	0	0	0	0	0	0	0	0
Otu202	18	0	3	2	0	8	0	321	7	1	0
Otu317	5	0	1	0	0	41	0	1	16	1	15
Otu124	31	45	45	28	369	75	51	47	40	43	31
Otu58	2	3	1	4	306	4	4	2	3	1314	1851
Otu174	19	13	16	17	52	30	12	54	100	66	154
Otu176	4	0	2	3	76	3	1	13	69	228	16
Otu292	5	2	2	3	9	4	2	21	12	24	14
Otu393	11	1	2	6	0	6	0	3	31	0	24
Otu374	7	2	2	2	1	3	3	10	3	3	5
Otu421	1	0	0	0	4	1	2	1	6	6	3
Otu188	9	7	7	13	31	15	11	53	35	36	109
Otu254	6	9	5	15	20	15	8	21	26	36	21
Otu359	16	1	3	13	7	7	3	2	2	5	2
Otu262	8	3	2	14	14	24	14	25	37	19	23
Otu227	12	17	13	26	19	15	9	10	9	38	23
Otu454	2	11	5	2	0	0	5	1	0	0	0
Otu44	12	2	7	2	2	3766	938	6	15	6	4
Otu332	5	6	5	4	3	12	6	7	27	17	12
Otu508	10	0	0	1	0	0	0	0	1	0	0
Otu448	7	1	1	0	0	6	0	0	5	1	2
Otu282	31	0	9	12	1	26	0	3	12	1	14
Otu315	17	7	7	17	16	27	12	27	15	32	34
Otu320	2	0	0	0	1	27	4	0	29	8	14
Otu214	26	25	23	30	60	52	52	87	98	155	62
Otu187	13	38	17	127	24	16	7	19	13	13	24
Otu80	4	4	4	1	5	10	43	2022	25	7	2
Otu362	3	3	0	4	9	5	2	16	26	11	8
Otu388	14	3	0	1	1	13	5	1	11	1	4
Otu413	5	2	4	2	3	9	1	0	4	4	7
Otu230	7	6	8	10	20	19	12	42	40	21	27
Otu513	2	0	1	0	0	0	0	15	0	0	0
Otu529	1	1	0	1	1	0	1	0	3	0	2
Otu129	12	3	0	4	2	701	4	5	554	6	315
Otu490	2	0	0	1	0	0	0	7	1	0	0
Otu194	14	18	17	22	23	30	20	51	29	65	26
Otu261	42	3	15	6	1	67	1	6	48	3	31
Otu390	15	11	14	11	16	34	16	38	92	23	19
Otu250	8	9	3	17	20	19	11	36	23	18	20
Otu531	3	6	0	111	10	1	7	0	1	9	1
Otu511	4	0	0	0	1	0	0	3	1	0	0
Otu565	6	4	7	3	5	6	4	2	3	9	4
Otu243	4	1	1	0	19	7	3	0	14	6	170
Otu456	3	2	0	0	7	1	1	0	2	6	0
Otu423	5	3	0	0	0	10	3	0	7	2	4
Otu387	2	1	0	3	5	5	1	6	10	4	4
Otu125	11	4	10	4	3	266	7	254	167	6	114
Otu91	8	0	1	1	881	3	3	4	4	530	459
Otu597	4	0	0	0	0	0	0	0	0	0	0
Otu412	16	0	5	22	2	3	3	8	6	2	3
Otu54	8	0	2	2	3072	47	4	6	3	9	5
Otu350	4	3	1	2	7	6	6	8	15	6	4
Otu403	2	0	0	1	0	1	0	118	5	0	0
Otu591	7	0	0	0	0	0	0	0	0	0	0
Otu237	12	3	7	9	38	19	14	24	19	19	9
Otu326	4	2	5	5	8	7	4	17	11	7	12
Otu465	6	0	0	0	2	1	2	1	2	2	2
Otu578	4	0	1	0	0	0	1	5	0	0	0
Otu325	2	16	27	0	36	15	11	1	12	28	1
Otu247	2	0	0	4	0	1	159	17	3	0	1
Otu177	15	5	11	12	28	25	21	47	102	44	28
Otu427	1	16	0	1	0	0	8	0	1	1	0
Otu351	3	1	3	3	8	4	4	9	1	4	6
Otu383	1	0	0	0	2	3	3	5	12	2	4
Otu408	3	0	1	0	1	18	0	1	6	1	3
Otu398	2	0	1	2	3	1	5	4	6	2	2
Otu637	5	0	2	2	1	2	2	4	4	1	2
Otu514	1	1	0	0	0	2	1	0	1	0	1
Otu222	5	1	20	2	0	78	0	31	88	1	34
Otu468	3	3	0	3	2	0	2	0	2	1	1
Otu246	17	12	27	3	10	9	32	15	11	24	2
Otu119	2	1	0	0	5	10	853	7	1	0	2
Otu396	3	0	1	0	0	2	0	20	2	0	0
Otu223	16	3	5	8	2	90	5	12	46	3	39
Otu384	5	1	1	5	0	6	0	4	7	0	4
Otu346	7	6	0	1	15	2	10	4	2	11	2
Otu299	5	13	6	10	20	19	11	23	21	36	24
Otu400	4	0	1	2	1	5	8	27	2	6	6
Otu381	1	0	3	2	4	3	4	6	2	6	3
Otu204	5	32	7	93	63	2	63	8	0	86	5
Otu357	1	0	0	0	0	17	0	0	15	0	13
Otu211	3	32	8	33	30	15	49	4	11	63	10
Otu664	10	5	6	15	5	13	210	214	17	11	8
Otu418	5	4	4	5	4	7	8	34	1	3	3
Otu195	1	1	0	0	1	72	1	1	122	2	72
Otu483	3	0	0	0	0	4	0	0	3	1	0
Otu510	7	0	2	0	0	0	0	1	1	1	0
Otu373	4	2	3	2	5	3	5	4	6	5	5
Otu660	3	0	0	0	0	0	0	0	0	0	0
Otu379	1	2	3	1	1	2	1	7	4	12	2
Otu311	1	3	3	4	5	5	7	13	28	4	14
Otu244	4	12	8	68	14	18	0	13	9	12	10
Otu363	4	2	2	2	5	3	2	13	4	6	2
Otu495	1	0	2	1	3	10	1	3	4	2	3
Otu409	2	1	4	1	1	1	1	1	13	1	3
Otu378	6	2	3	7	15	14	5	13	14	8	4
Otu329	3	3	4	6	4	10	2	11	24	11	11
Otu347	5	5	9	47	4	2	16	9	3	10	4
Otu249	8	6	6	12	35	17	4	12	18	37	22
Otu440	1	1	2	1	4	2	3	4	4	3	2
Otu416	5	3	9	5	19	26	8	10	16	14	8
Otu340	2	0	2	4	10	8	7	8	11	5	1
Otu276	1	3	7	7	12	6	4	8	29	21	16
Otu264	7	2	7	4	14	10	7	13	23	26	22
Otu462	4	0	0	0	0	0	0	8	0	1	0
Otu126	2	123	4	1	1	5	4	33	434	823	19
Otu425	3	0	0	3	3	3	2	0	2	0	5
Otu376	4	1	1	4	4	4	2	1	21	6	4
Otu467	5	1	1	7	7	3	15	13	11	8	3
Otu102	2	1	1	0	1	1450	0	4	0	1	0
Otu566	1	0	0	0	0	0	0	3	0	0	0
Otu353	4	1	1	2	5	3	3	6	14	11	3
Otu107	4	1061	434	200	1	1	3	9	2	3	2
Otu452	5	0	2	6	1	1	0	0	8	0	2
Otu618	3	0	0	0	0	0	0	0	0	0	0
Otu545	2	0	1	0	0	2	0	2	0	1	0
Otu341	3	2	2	6	8	7	3	8	9	12	6
Otu306	3	4	6	4	14	9	6	8	20	11	9
Otu559	3	0	0	0	0	0	0	0	0	1	3
Otu238	2	151	4	1	0	7	15	5	0	0	0
Otu422	2	0	1	2	7	1	2	1	1	7	0
Otu252	2	0	1	2	51	0	1	2	3	134	20
Otu457	4	0	1	0	0	0	2	12	0	6	1
Otu334	3	0	0	1	6	7	5	9	31	8	7
Otu294	4	2	14	2	4	35	5	12	10	11	12
Otu496	2	3	5	8	3	16	5	18	48	14	20
Otu391	4	3	1	3	0	1	1	3	4	3	4
Otu570	1	1	0	0	0	0	0	3	1	2	2
Otu628	3	0	0	0	0	0	0	0	0	0	1
Otu480	3	1	0	0	0	2	0	0	3	0	2
Otu556	1	1	0	0	0	1	1	0	1	1	0
Otu479	2	420	295	15	1	3	17	8	0	7	2
Otu277	4	4	6	15	20	3	9	18	10	9	8
Otu371	2	1	3	1	47	10	0	3	4	0	3
Otu13	2	2	1	3671	3	11	6	101	2983	34	1326
Otu530	3	5	1	3	10	12	5	13	38	18	8
Otu535	3	0	0	0	1	0	0	0	0	2	0
Otu437	7	0	1	0	0	5	1	1	13	0	5
Otu512	3	0	0	0	0	1	0	0	3	0	1
Otu339	2	3	3	1	4	45	26	6	3	6	2
Otu337	3	3	1	7	2	6	7	10	5	11	12
Otu286	3	4	6	6	7	4	50	4	4	6	6
Otu367	5	0	1	0	1	11	1	1	16	1	12
Otu442	3	1	0	1	7	0	0	0	0	1	14
Otu542	1	0	0	0	0	0	0	0	3	1	1
Otu399	1	0	1	1	3	7	4	7	1	6	3
Otu544	1	0	2	0	2	1	0	1	5	0	1
Otu283	3	3	6	7	13	17	8	11	23	6	6
Otu225	1	20	38	31	22	10	39	8	3	39	8
Otu132	1	3	2	2	0	764	312	37	1	0	0
Otu608	1	0	0	0	0	1	0	0	1	0	0
Otu284	6	5	4	6	8	14	3	15	28	16	9
Otu519	1	1	0	0	0	3	0	2	1	0	1
Otu114	3	0	0	1	902	0	0	4	4	129	377
Otu370	4	3	22	7	6	8	4	2	13	9	8
Otu557	5	0	3	3	0	9	0	2	4	0	1
Otu344	2	4	4	2	5	6	3	4	8	11	14
Otu121	1	0	0	2	1	936	1	0	0	0	1
Otu497	1	1	1	0	2	1	4	16	2	1	2
Otu624	3	2	3	8	5	4	61	5	7	9	6
Otu361	1	0	0	0	6	0	0	1	0	4	62
Otu430	2	0	0	0	9	0	0	0	0	6	3
Otu352	1	0	3	1	2	5	4	9	16	11	2
Otu335	3	4	2	1	5	4	3	7	10	25	7
Otu568	1	0	1	0	0	1	0	0	0	0	2
Otu25	2	4610	2293	53	10	5	6	10	6	2	0
Otu304	3	5	4	5	10	8	5	12	14	20	9
Otu504	1	0	3	5	1	1	2	0	2	0	0
Otu217	1	3	8	5	338	9	3	14	2	33	1
Otu253	1	0	1	0	68	0	0	1	0	51	34
Otu401	1	0	2	2	4	3	1	1	6	0	9
Otu331	1	0	2	1	3	1	1	124	0	0	2
Otu485	1	1	0	1	1	3	0	1	4	0	2
Otu502	1	1	5	2	1	0	0	0	0	2	0
Otu109	1	1	0	1	311	2	0	7	2	596	372
Otu612	1	0	0	1	0	0	0	7	0	0	0
Otu115	1	83	8	0	197	0	213	6	0	310	0
Otu369	1	1	11	0	1	15	2	2	5	3	4
Otu289	1	0	0	0	1	0	0	0	1	4	118
Otu629	1	0	0	0	0	3	0	1	0	0	0
Otu273	1	0	0	0	4	0	50	132	4	3	1
Otu607	1	0	0	0	0	2	0	0	1	0	1
Otu558	1	0	0	0	3	1	1	1	2	2	0
Otu470	1	0	1	3	0	1	0	1	4	2	5
Otu515	1	0	1	1	2	1	3	3	1	0	2
Otu23	0	1651	4523	128	4	2	4	5	4	4	3
Otu216	0	18	210	4	0	0	0	0	0	0	0
Otu646	0	94	50	94	0	0	0	4	0	1	0
Otu507	0	46	3	2	0	0	1	0	0	0	0
Otu431	0	19	1	1	0	1	1	4	1	0	0
Otu342	0	7	6	9	5	2	14	5	4	17	1
Otu439	0	1	0	0	0	0	0	0	0	0	28
Otu181	0	1	0	1	0	0	0	354	4	0	0
Otu355	0	4	0	2	4	3	3	6	18	9	3
Otu297	0	8	4	1	19	16	5	3	10	19	12
Otu469	0	1	0	0	1	1	0	0	5	0	4
Otu498	0	1	1	2	0	0	2	0	2	0	0
Otu113	0	1	1	0	477	0	1	3	0	511	125
Otu524	0	2	1	0	1	7	5	4	1	2	2
Otu372	0	4	0	8	10	2	9	1	2	15	0
Otu434	0	1	1	2	3	3	3	2	3	2	2
Otu182	0	1	0	2	1	67	0	1	143	3	90
Otu268	0	1	0	0	12	2	1	5	4	111	34
Otu156	0	1	0	1	5	647	1	1	1	0	2
Otu87	0	1	2	0	2	0	1539	17	83	11	10
Otu150	0	1	0	0	32	0	0	1	1	517	15
Otu625	0	1	0	0	0	0	0	8	0	0	0
Otu663	0	1	1	0	0	0	0	0	2	0	0
Otu537	0	1	1	0	0	5	1	2	3	0	4
Otu554	0	1	0	1	0	3	0	2	3	0	0
Otu573	0	1	0	2	0	0	1	0	0	1	2
Otu472	0	1	0	0	1	7	0	0	6	0	1
Otu477	0	2	1	1	5	2	0	5	9	3	0
Otu579	0	1	1	0	1	0	0	1	1	0	1
Otu228	0	1	0	2	0	0	0	223	6	0	0
Otu443	0	1	1	0	0	9	2	4	2	0	3
Otu499	0	2	1	1	2	9	1	0	0	1	0
Otu475	0	1	2	1	0	1	0	2	1	2	2
Otu410	0	1	8	0	0	16	4	1	3	6	5
Otu464	0	2	0	0	1	1	1	7	0	0	1
Otu236	0	1	0	0	0	340	0	0	1	0	0
Otu588	0	1	0	0	1	0	0	0	0	0	3
Otu648	0	1	1	0	0	0	1	0	0	0	0
Otu358	0	0	1	0	37	0	0	0	3	16	2
Otu518	0	0	3	5	0	0	0	0	0	0	0
Otu644	0	0	7	0	4	4	0	2	22	3	1
Otu567	0	0	3	0	1	1	0	2	0	0	0
Otu455	0	0	1	0	10	0	0	0	1	11	8
Otu635	0	0	1	0	0	1	0	2	0	0	1
Otu609	0	0	1	0	0	0	1	0	0	1	1
Otu438	0	0	1	2	6	0	1	1	1	31	1
Otu614	0	0	1	0	1	1	0	1	0	4	1
Otu461	0	0	1	1	0	0	6	1	4	1	1
Otu641	0	0	1	0	0	1	0	0	0	0	1
Otu656	0	0	1	0	0	0	0	1	2	1	3
Otu426	0	0	1	0	1	3	1	2	4	4	5
Otu551	0	0	3	0	0	2	0	0	2	0	1
Otu411	0	0	4	1	2	2	1	4	9	2	4
Otu493	0	0	1	0	0	1	8	3	2	0	0
Otu574	0	0	1	0	0	0	0	5	1	0	2
Otu532	0	0	1	0	2	1	0	0	0	3	1
Otu445	0	0	2	0	0	4	0	8	7	0	1
Otu476	0	0	1	0	0	4	0	0	4	2	2
Otu553	0	0	0	99	0	0	0	5	1	3	0
Otu120	0	0	0	3	270	0	0	2	0	89	705
Otu527	0	0	0	1	1	2	0	3	0	0	0
Otu652	0	0	0	25	0	0	0	1	0	0	0
Otu419	0	0	0	4	0	0	0	19	1	9	0
Otu561	0	0	0	6	0	0	0	0	0	0	0
Otu649	0	0	0	1	0	0	2	0	2	1	2
Otu583	0	0	0	1	0	0	0	36	1	0	0
Otu117	0	0	0	1	2	1	6	1102	14	2	1
Otu155	0	0	0	2	210	0	0	0	0	282	35
Otu500	0	0	0	1	10	3	2	0	5	2	3
Otu569	0	0	0	1	1	0	0	1	1	1	5
Otu484	0	0	0	1	0	1	1	1	6	0	0
Otu540	0	0	0	2	1	2	2	1	0	1	1
Otu466	0	0	0	5	0	0	1	12	0	1	0
Otu492	0	0	0	1	1	0	1	3	8	0	1
Otu661	0	0	0	1	1	0	0	7	0	0	0
Otu517	0	0	0	2	0	0	6	1	0	0	0
Otu290	0	0	0	1	0	123	0	0	0	0	0
Otu634	0	0	0	1	0	0	1	0	1	0	0
Otu303	0	0	0	0	7	0	0	0	0	1	101
Otu481	0	0	0	0	27	0	0	0	1	10	6
Otu428	0	0	0	0	52	0	0	0	0	0	1
Otu240	0	0	0	0	74	1	0	0	12	55	111
Otu231	0	0	0	0	103	0	0	3	0	105	50
Otu356	0	0	0	0	62	0	0	0	0	0	0
Otu229	0	0	0	0	20	1	0	1	0	92	147
Otu189	0	0	0	0	98	0	0	0	0	36	262
Otu523	0	0	0	0	8	0	0	0	0	21	14
Otu473	0	0	0	0	17	0	0	0	0	0	0
Otu366	0	0	0	0	64	0	1	0	0	1	0
Otu397	0	0	0	0	18	0	0	0	2	2	14
Otu233	0	0	0	0	73	1	1	0	2	19	192
Otu605	0	0	0	0	2	1	0	1	2	2	0
Otu345	0	0	0	0	5	1	1	0	4	61	0
Otu385	0	0	0	0	6	1	1	1	2	36	1
Otu564	0	0	0	0	1	0	2	0	0	2	1
Otu505	0	0	0	0	1	0	2	9	0	2	0
Otu631	0	0	0	0	6	0	0	0	0	0	0
Otu589	0	0	0	0	7	0	0	0	0	0	0
Otu360	0	0	0	0	8	0	0	1	1	14	40
Otu615	0	0	0	0	1	0	0	0	0	0	2
Otu501	0	0	0	0	4	0	0	0	0	2	8
Otu590	0	0	0	0	1	0	0	0	0	0	5
Otu300	0	0	0	0	1	28	1	0	40	3	27
Otu577	0	0	0	0	1	0	0	0	0	0	7
Otu453	0	0	0	0	2	0	0	3	0	0	17
Otu563	0	0	0	0	1	0	1	1	4	0	1
Otu138	0	0	0	0	2	772	1	4	0	0	0
Otu599	0	0	0	0	1	0	0	0	0	1	2
Otu522	0	0	0	0	1	2	1	0	0	0	3
Otu365	0	0	0	0	1	0	0	0	1	5	45
Otu613	0	0	0	0	1	0	0	3	0	0	0
Otu617	0	0	0	0	1	0	0	3	0	0	0
Otu603	0	0	0	0	1	0	0	0	2	0	1
Otu555	0	0	0	0	1	2	0	0	4	0	0
Otu602	0	0	0	0	1	0	0	0	0	1	3
Otu659	0	0	0	0	1	1	1	0	0	0	0
Otu611	0	0	0	0	1	0	0	2	4	2	1
Otu389	0	0	0	0	0	37	0	0	0	0	0
Otu429	0	0	0	0	0	26	0	0	0	0	0
Otu521	0	0	0	0	0	173	0	0	1	0	0
Otu395	0	0	0	0	0	35	1	0	0	0	0
Otu402	0	0	0	0	0	33	0	0	0	0	0
Otu281	0	0	0	0	0	49	1	0	32	0	17
Otu581	0	0	0	0	0	6	1	2	1	0	0
Otu598	0	0	0	0	0	4	0	0	0	0	0
Otu595	0	0	0	0	0	6	0	0	0	0	0
Otu547	0	0	0	0	0	12	0	0	0	1	0
Otu650	0	0	0	0	0	9	1	4	0	0	0
Otu534	0	0	0	0	0	9	0	0	0	0	0
Otu594	0	0	0	0	0	3	0	0	3	0	1
Otu582	0	0	0	0	0	7	0	0	0	0	0
Otu491	0	0	0	0	0	1	0	0	8	2	1
Otu494	0	0	0	0	0	5	0	0	3	0	0
Otu548	0	0	0	0	0	6	1	0	0	0	0
Otu632	0	0	0	0	0	2	0	0	1	0	1
Otu592	0	0	0	0	0	2	1	0	0	0	1
Otu255	0	0	0	0	0	1	156	0	0	0	0
Otu488	0	0	0	0	0	1	0	0	21	0	2
Otu657	0	0	0	0	0	1	0	0	4	0	1
Otu645	0	0	0	0	0	3	0	0	0	0	0
Otu622	0	0	0	0	0	1	0	4	0	0	0
Otu546	0	0	0	0	0	2	4	11	0	0	1
Otu654	0	0	0	0	0	2	0	0	1	0	2
Otu586	0	0	0	0	0	0	42	44	2	17	0
Otu386	0	0	0	0	0	0	4	0	26	0	1
Otu516	0	0	0	0	0	0	1	9	2	0	0
Otu626	0	0	0	0	0	0	1	4	0	0	0
Otu526	0	0	0	0	0	0	1	9	1	0	0
Otu432	0	0	0	0	0	0	1	18	0	0	0
Otu627	0	0	0	0	0	0	1	4	2	0	0
Otu651	0	0	0	0	0	0	0	2	1	0	0
Otu459	0	0	0	0	0	0	0	14	0	0	0
Otu601	0	0	0	0	0	0	0	5	0	0	0
Otu533	0	0	0	0	0	0	0	7	3	0	0
Otu647	0	0	0	0	0	0	0	6	0	0	0
Otu538	0	0	0	0	0	0	0	5	0	0	0
Otu487	0	0	0	0	0	0	0	25	0	0	0
Otu662	0	0	0	0	0	0	0	4	0	0	0
Otu587	0	0	0	0	0	0	0	5	1	0	0
Otu604	0	0	0	0	0	0	0	11	0	0	0
Otu447	0	0	0	0	0	0	0	18	0	0	0
Otu543	0	0	0	0	0	0	0	5	0	0	0
Otu621	0	0	0	0	0	0	0	11	0	0	0
Otu653	0	0	0	0	0	0	0	3	0	0	0
Otu549	0	0	0	0	0	0	0	11	1	0	0
Otu539	0	0	0	0	0	0	0	10	0	0	0
Otu633	0	0	0	0	0	0	0	3	0	0	0
Otu550	0	0	0	0	0	0	0	6	0	0	0
Otu600	0	0	0	0	0	0	0	4	0	0	0
Otu655	0	0	0	0	0	0	0	5	0	0	0
Otu562	0	0	0	0	0	0	0	7	0	0	0
Otu642	0	0	0	0	0	0	0	6	0	0	0
Otu666	0	0	0	0	0	0	0	6	0	0	0
Otu310	0	0	0	0	0	0	0	10	0	73	0
Otu620	0	0	0	0	0	0	0	3	0	0	0
Otu584	0	0	0	0	0	0	0	4	0	0	0
Otu585	0	0	0	0	0	0	0	5	0	0	0
Otu463	0	0	0	0	0	0	0	11	0	0	0
Otu630	0	0	0	0	0	0	0	3	0	0	1
Otu640	0	0	0	0	0	0	0	3	0	0	0
Otu667	0	0	0	0	0	0	0	4	0	0	0
Otu610	0	0	0	0	0	0	0	3	0	0	0
Otu450	0	0	0	0	0	0	0	0	3	1	15
Otu435	0	0	0	0	0	0	0	0	25	0	0
Otu636	0	0	0	0	0	0	0	0	3	0	0
Otu658	0	0	0	0	0	0	0	0	2	0	1
Otu415	0	0	0	0	0	0	0	0	0	3	33
Otu263	0	0	0	0	0	0	0	0	0	2	153
Otu525	0	0	0	0	0	0	0	0	0	1	10
Otu336	0	0	0	0	0	0	0	0	0	0	69
Otu576	0	0	0	0	0	0	0	0	0	0	6
Otu571	0	0	0	0	0	0	0	0	0	0	4
Otu471	0	0	0	0	0	0	0	0	0	0	11
Otu606	0	0	0	0	0	0	0	0	0	0	5
